"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 18 21:45:50 GMT 2024","Fri Oct 18 21:45:50 GMT 2024","1","","","","MewingPad.Tests.UnitTests.BusinessLogic.Services.ReportServiceUnitTest","MewingPad.Tests.UnitTests.BusinessLogic.Services.ReportServiceUnitTest.CreateReport_ReportUnique_Ok","MewingPad.Tests.UnitTests.BusinessLogic.Services.ReportServiceUnitTest.CreateReport_ReportUnique_Ok",""
"passed","Fri Oct 18 21:45:50 GMT 2024","Fri Oct 18 21:45:50 GMT 2024","4","","","","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestUserFavouriteRepository","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestUserFavouriteRepository.AddUserFavouritePlaylist_AddUnique_Ok","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestUserFavouriteRepository.AddUserFavouritePlaylist_AddUnique_Ok",""
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","2","","","","MewingPad.Tests.UnitTests.BusinessLogic.Services.ScoreServiceUnitTest","MewingPad.Tests.UnitTests.BusinessLogic.Services.ScoreServiceUnitTest.GetScoreByPrimaryKey_NoScoreWithPk_Error","MewingPad.Tests.UnitTests.BusinessLogic.Services.ScoreServiceUnitTest.GetScoreByPrimaryKey_NoScoreWithPk_Error",""
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","0","","","","MewingPad.Tests.UnitTests.DataAccess.Converters.TestReportConverter","MewingPad.Tests.UnitTests.DataAccess.Converters.TestReportConverter.TestCoreToDbModelNull_Ok","MewingPad.Tests.UnitTests.DataAccess.Converters.TestReportConverter.TestCoreToDbModelNull_Ok",""
"passed","Fri Oct 18 21:45:50 GMT 2024","Fri Oct 18 21:45:50 GMT 2024","3","","","","MewingPad.Tests.UnitTests.BusinessLogic.Services.TagServiceUnitTest","MewingPad.Tests.UnitTests.BusinessLogic.Services.TagServiceUnitTest.AssignTagToAudiotrack_TagAndAudiotrackExist_Ok","MewingPad.Tests.UnitTests.BusinessLogic.Services.TagServiceUnitTest.AssignTagToAudiotrack_TagAndAudiotrackExist_Ok",""
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","3","","","","MewingPad.Tests.UnitTests.BusinessLogic.Services.AudiotrackServiceUnitTest","MewingPad.Tests.UnitTests.BusinessLogic.Services.AudiotrackServiceUnitTest.DeleteAudiotrack_AudiotrackExists_Ok","MewingPad.Tests.UnitTests.BusinessLogic.Services.AudiotrackServiceUnitTest.DeleteAudiotrack_AudiotrackExists_Ok",""
"passed","Fri Oct 18 21:45:50 GMT 2024","Fri Oct 18 21:45:50 GMT 2024","23","","","","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestTagRepository","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestTagRepository.AddTag_AddUnique_Ok","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestTagRepository.AddTag_AddUnique_Ok",""
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","0","","","","MewingPad.Tests.UnitTests.DataAccess.Converters.TestCommentaryConverter","MewingPad.Tests.UnitTests.DataAccess.Converters.TestCommentaryConverter.TestDbToDbModel_Ok","MewingPad.Tests.UnitTests.DataAccess.Converters.TestCommentaryConverter.TestDbToDbModel_Ok",""
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","2","","","","MewingPad.Tests.UnitTests.BusinessLogic.Services.PlaylistServiceUnitTest","MewingPad.Tests.UnitTests.BusinessLogic.Services.PlaylistServiceUnitTest.GetUserPlaylists_NoUserWithId_Error","MewingPad.Tests.UnitTests.BusinessLogic.Services.PlaylistServiceUnitTest.GetUserPlaylists_NoUserWithId_Error",""
"passed","Fri Oct 18 21:45:50 GMT 2024","Fri Oct 18 21:45:50 GMT 2024","3","","","","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestAudiotrackRepository","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestAudiotrackRepository.AddAudiotrack_AddAudiotrackWithSameId_Error","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestAudiotrackRepository.AddAudiotrack_AddAudiotrackWithSameId_Error",""
